,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
Crédito SF sector privado,0.9968994749727884,0.03148500244957714,0.11774080221867922,0.007709369274901871,-0.05229206385135269,0.005583917681930235,-0.0345095514664836,-0.010003928866405415,-0.002282630863188999,0.011556905947438433,0.009152619090893778,-0.018403373290309336,-0.014891705027293548,0.016819882147355112,-0.0005919053832438066,0.0026309475076930263,-0.0005659751565046513,-0.002426940394211182,-0.0011330619023041174,0.005421881787367768
Crédito empresarial,0.9942968783994888,-0.02999662088868845,0.12038461431328897,-0.03641075754350911,-0.0030918727305085745,-0.022341371399120735,-0.06525174430752399,-0.010037218285763998,-0.02891002861443932,0.01670367134080678,0.006278165221636718,-0.03541033444948939,0.009636560113275855,0.03250246704784318,-0.009245945346560352,0.004778671469390446,-0.0008045482504406533,0.000846905475237944,0.0012416915673808435,-0.0029606453082809685
Crédito consumo,0.9841829045526016,0.1537396945647895,0.019921373706874555,0.05049275307340943,-0.061410058886761286,0.08175679715269925,-0.015296776641691866,-0.03224103589100554,0.05865382316792998,0.031030512586067836,0.02990503792586688,0.0031517850847184374,-0.03465695487360164,0.004760076495236912,0.01837409464533289,-0.007769615333949088,-0.005428112047326508,0.0005826724626412557,0.00047695747751149933,-0.0016137270625232502
Crédito hipotecario,1.0007387106364087,0.08401332150354007,0.022707534866594034,0.009089833982412922,-0.006274188934038363,0.048168532216298396,-0.0075306172112436015,0.0018899057708008044,0.03816033681961563,0.000996829181205042,-0.0019658158449790022,0.01609961555647046,-0.008031429151222555,-0.0018896351695861253,0.006969711086808641,0.015329546957068873,0.016176889512310857,0.0005751492237490683,-0.0004742866745171653,-0.000640815731620128
Tasa activa TAMN,-0.8624663210672137,0.3997754351372976,-0.16666905189707346,0.1687663916026233,-0.008269058217463808,0.12276572221854887,0.041920686549764684,0.18756853156489292,0.014884934926587799,-0.020459352807425002,0.012007643602079152,-0.03176129876844105,-0.007507345782264108,0.004776657123111409,0.0024259413192526864,0.0014286755725387997,0.0005856578055936092,4.2280328618123546e-05,7.248184321013621e-05,-8.163883183245385e-05
Tasa pasiva TIPMN,-0.21674253701858556,0.9211907474216998,-0.016252678695842657,-0.10753119642864012,-0.21674276855613037,0.2285695137395212,-0.0016361563138831193,-0.04794181114780038,-0.06253477714235885,0.0037681537795228722,-0.022199863867410415,0.016692214648786247,0.015387738531552437,0.00588297013928605,0.0004714875367802237,-0.0012392562777934968,-6.040895928217998e-06,-0.0002693601581101917,-0.00017585569467600809,3.6127980890017764e-05
Tasa referencia BCRP,0.03758583613974452,0.980192368607997,-0.11165803728872786,-0.08165469693235435,0.059828920284452226,-0.1621067060634213,-0.04380535524215075,-0.003982796236361538,0.0013941152122037255,0.005879232489501272,0.01782057355862946,-0.00826577374823336,-0.006229278053162644,-0.0005423334172369354,-0.005245107156586623,-0.012792748095628154,0.010779838610086467,-0.0014444932288650316,-0.0004937782030115254,-0.00021948336146530845
Tipo de cambio,0.8399500363481414,0.11362799106037647,0.43851634593869376,0.17706101152879336,-0.20595382436303133,-0.14425059639411614,0.016075657909895888,0.03487666461312134,-0.030962886037382665,-0.0612764644621869,-0.04626885236206199,-0.0021658033545048894,-0.014600681896707955,-0.002052693153272415,0.005498749890775152,-0.0025855881143712644,-0.00037372648689868696,0.0006732031191534986,0.00033506877726610776,-0.0005232021526767913
Índice BVL,0.662325247499145,0.1349791652919564,-0.5308520311612627,0.48054694551430427,0.17439892843881213,0.03368801224792068,0.04670452535524944,-0.08733250451673676,-0.03900168463831148,-0.02711985777909395,-0.022297621058619342,-0.009828575497191057,-0.006727918286338471,0.0032056839301772303,0.0011933133359451871,-0.00011951398363015253,-5.017393645095097e-06,5.989941986289969e-05,1.0198994283797801e-05,2.9886867055518286e-05
IPC Lima,0.9700728057519391,0.2218761009552805,0.01890022725378919,0.10843881584019589,-0.0011255860489708179,0.01955771724580987,-0.002801788925428324,0.016821379941031472,0.09894782536144864,-0.002600990551247372,-0.0179195699184891,0.006878358874007274,0.02264468070700123,0.002914116621589559,-0.00888514656941626,-0.003117238166835251,-0.003408285191584919,0.003170809795744731,-0.005512895782231825,-3.9783204525234465e-05
PBI desestacionalizado,0.9710503748975648,0.05568884886029587,-0.06599497340256189,-0.12520240450499534,-0.024124565917435187,-0.04228846328255111,0.19422297482107612,0.0001443831194154317,-0.016541260937011783,-0.05426596383452339,0.06134447847859044,0.017479427097978756,0.01832118962450067,0.009791235295647821,0.0023074774964604713,2.3054995954738e-05,-0.0009881067025577115,-5.13654345739878e-05,7.289854075044088e-05,0.00010524830881118759
Demanda interna,0.9631942376553677,0.035661692243426656,-0.09044613774688254,-0.1446917878257682,0.02526495925609122,-0.04480967132833501,0.2038150893962792,0.05064914943528573,-0.02953053885422042,0.07971869451568847,-0.041110397277211295,-0.005012865984958538,-0.0071315662600732735,-0.0033030002180792365,-0.0009337609453353694,-0.0007828596083316354,-0.00014703560125975195,0.0001418403772980029,-7.432851016756081e-05,-7.981840310979746e-05
Reservas internacionales,0.9422091374047648,-0.05231783697315543,-0.1383730306275072,-0.19084619307200348,0.2045941377113875,0.03563126445976448,-0.1020353646985445,0.09507465856379775,-0.04279809950224202,-0.021907059065342863,-0.01705101231460344,0.04691328961178102,-0.017064375262130792,0.011428461243691762,-0.002637853259279943,-0.0025730594296967707,-0.0026301839836435103,0.00019421354233103354,0.00016013202676676562,3.964844840120589e-05
Liquidez M1,0.975892093929854,0.0035174289201239865,0.08593015075980844,0.18254783013945242,0.06625799849740782,-0.02966930714959841,-0.08600229874026383,0.05516912321296404,-0.03714614346878555,0.031313880913713565,0.007052418505174149,-0.0008829220356354814,0.04800093603894107,-0.007338257862655135,0.01774674369376177,-0.0027590359049303745,0.0003371096275515647,-0.000737751007814577,0.0007991523134621106,0.0005584612493730102
Liquidez M2,0.9953203146339928,-0.06921898466078544,0.05112480961401324,0.05133625056961259,-0.044744984305096866,0.06978014996113359,-0.03406149324210999,0.008904957763043534,-0.054961719887035174,0.007389134238116505,0.034024338552836104,-0.01001421337414756,-0.009841181984014229,-0.021467904883398368,-0.011189875943587826,-0.0021613970116841036,0.001634546506615616,0.00701991592505291,0.0011683933852732957,0.0009044856076987231
Liquidez M3,0.9971111864020568,-0.03623269305967294,0.07123503796313425,0.07767386039860683,-0.035286202323242734,0.049018579375252704,-0.024671128019271196,0.016048300066594894,-0.03833878197436367,0.001687714551643321,0.023433636686680723,-0.0038823993988887128,-0.008748045256164202,-0.021060097772660002,-0.00926505290263001,0.003292722254495779,-0.0032534729822993893,-0.006806997145425323,-0.0031289993109391923,-0.0017845926431427647
Tasa interbancaria,0.0366839830774106,0.983331520303819,-0.10241481635540592,-0.106233759826835,0.06149095981639882,-0.13463458249614088,-0.0357676303598184,-0.00842586332451335,0.009639358572987608,0.0003422316594224141,0.004039073717089159,-0.002507052006760523,-0.0033300656811245367,-0.010720699137873537,0.0031484447651042237,0.014253390949635824,-0.01059979539990619,0.001482246790581968,0.0007917256973450386,0.0002317378999524308
IPC Subyacente,0.9831259232361105,0.16436507120587843,0.018643362937257556,0.09012849341417135,-0.020799391685233436,0.0549753407658019,0.012400853641339062,0.009531094467183325,0.08692476943514611,-0.0056547515561719535,-0.012225226095270169,0.008594005400111453,0.010236876259190545,-0.00621848200205655,-0.012653768355972629,-0.0018234591359608525,-0.0009804061181414544,-0.002792964746380239,0.006253318418408738,0.00045673030174043556
indice_precios_inmuebles,0.8694808164903783,-0.1284595970975662,-0.10262850859490749,-0.45352831598060106,0.10068886101903202,0.09234922094860457,-0.012558014005401033,-0.027448399607426368,0.01791253459186394,-0.04963824892119195,-0.025336954798573275,-0.043814144952686075,0.0055177726067276505,-0.012145764538921343,0.007659048015599472,-0.002881323001981226,0.0005895595250919903,-0.0002730155446924685,-0.00019206722726971434,-6.547048909999971e-08
embi_peru,-0.39996110751600455,0.38234301365567275,0.7677748593965981,0.08365126805519141,0.30962173461781467,0.09689843510464527,0.07176449154280981,-0.02787205403585101,-0.00704505304741337,-0.0022485372813850378,0.002649990255770152,-0.0015619118674180968,-0.003371742056220812,0.00047085814893084617,-0.0004829366538713135,-0.00035655982696805745,0.0001316518353668793,0.00010254761941825889,-5.0164825716991326e-05,3.4621795930064925e-05
