fecha,var_pc1,var_pc2
2009-11-01,28.40453867488811,16.945373703960332
2010-02-01,28.361972540181863,17.07443571973
2010-05-01,28.92639717954415,16.6634871758556
2010-08-01,30.134047375666896,15.809162217064118
2010-12-01,31.455199245299802,16.06111680895163
2011-03-01,31.828121633988875,15.668610332700043
2011-06-01,31.533959409079564,15.689813237345652
2011-10-01,24.304990607760875,18.815701947212535
2012-01-01,24.894013751074837,18.556499609737294
2012-04-01,21.05448933212872,18.147951625136884
2012-07-01,23.922289063982486,15.614925593640091
2012-11-01,24.540938265959053,15.325777166840835
2013-02-01,24.978360813234662,14.850251093982662
2013-05-01,24.88673394887358,15.463628525215725
2013-08-01,19.422160972639578,15.489290132369135
2013-12-01,19.305922509672587,15.160421760957032
2014-03-01,19.65290424818746,13.105433553873125
2014-06-01,19.239899396538704,14.471570925414461
2014-10-01,18.98462831832682,14.060067381130139
2015-01-01,18.963326512603523,13.955320779767554
2015-04-01,21.999840604616168,13.204133357340325
2015-07-01,20.36737771245703,15.106646032643683
2015-11-01,19.719066419308394,14.528260063332052
2016-02-01,19.956126698371214,14.932528956900132
2016-05-01,19.491122937772662,15.095405463839365
2016-08-01,19.730891825628465,15.720390970662192
2016-12-01,18.856711069895628,15.788435430901405
2017-03-01,19.152629133330663,15.667910701331888
2017-06-01,19.16892856698299,15.794003172009393
2017-10-01,24.38523703926157,23.568366072604608
2018-01-01,25.896822367662303,21.720513234984377
2018-04-01,25.665517099113945,21.462271581028798
2018-07-01,25.057445082286133,21.252852010310683
2018-11-01,24.777939211057294,21.472582294126152
2019-02-01,25.135519535634366,21.473681271027885
2019-05-01,26.076523481869145,21.140107383876742
2019-08-01,28.297242808159602,20.853160518139287
2019-12-01,29.657603863075682,19.956601314470586
2020-03-01,30.707647702256708,19.55266418786573
2020-06-01,30.65618803327716,19.286069504502613
2020-10-01,29.974020818810693,19.41856119057816
2021-01-01,31.069482680087468,19.794766236619726
2021-04-01,31.95933225976538,19.778306264177587
2021-07-01,31.665273632220696,19.902727370671627
2021-11-01,32.00788741331386,19.8628292175158
2022-02-01,32.041226380957916,19.58457909131818
2022-05-01,31.90316478479013,19.762961306340873
2022-08-01,32.480956895591426,19.844903084597803
2022-12-01,32.84242171151849,19.904815477735983
2023-03-01,31.476670415275343,12.057079806275398
